poi_distance_from_bike_stn,total_bikes,review_count,rating
156.5,56.0,187.05,4.2
324.0,25.0,206.0,4.3
689.0,26.0,352.4,4.35
618.0,26.0,199.05,4.275
825.5,49.0,366.45,4.35
295.5,40.0,140.8,4.175
574.0,34.0,263.0,4.35
606.0,28.0,174.15,4.25
352.5,21.0,383.15,4.225
510.0,22.0,260.5,4.2
293.0,27.0,424.35,4.375
630.0,30.0,166.75,4.3
217.5,21.0,134.9,4.275
289.0,48.0,103.75,4.225
587.0,32.0,221.9,4.275
473.0,37.0,137.35,4.275
429.0,21.0,155.4,4.3
312.5,43.0,220.85,4.175
373.5,24.0,179.95,4.275
410.5,19.0,96.35,4.3
197.5,18.0,194.6,4.25
606.0,19.0,172.85,4.275
421.0,18.0,155.65,4.225
252.0,26.0,473.65,4.35
667.5,24.0,121.35,4.225
625.0,18.0,56.0,4.1
201.0,20.0,221.0,4.225
321.5,16.0,211.8,4.175
420.0,21.0,376.55,4.25
346.0,18.0,171.6,4.2
599.0,28.0,206.7,4.3
499.5,27.0,132.55,4.225
647.0,20.0,130.95,4.175
573.5,15.0,140.2,4.2
529.5,21.0,369.6,4.225
616.0,52.0,146.95,4.35
470.0,17.0,241.7,4.3
769.0,35.0,119.0,4.3
498.5,26.0,166.15,4.125
418.5,32.0,215.55,4.3
598.0,20.0,100.05,4.3
496.0,22.0,126.35,4.075
328.0,57.0,547.75,4.275
258.0,21.0,104.9,4.225
443.5,27.0,142.7,4.225
315.0,17.0,28.4,4.15
688.0,33.0,234.15,4.275
498.5,29.0,149.45,4.25
495.0,15.0,138.9,4.225
583.0,40.0,490.2,4.325
524.5,34.0,169.1,4.3
613.5,32.0,154.8,4.25
324.0,24.0,233.5,4.2
570.0,24.0,221.9,4.275
718.5,54.0,222.8,4.275
627.0,47.0,42.45,4.275
513.0,37.0,238.4,4.325
586.5,18.0,153.55,4.225
361.5,18.0,84.15,4.275
599.0,24.0,122.95,4.225
391.0,22.0,166.0,4.3
681.5,21.0,56.5,4.325
376.0,19.0,110.4,4.35
400.0,25.0,207.1,4.35
489.0,20.0,405.85,4.35
327.0,19.0,145.15,4.3
504.0,17.0,293.8,4.25
912.0,16.0,418.6,4.375
429.0,31.0,207.35,4.225
409.0,17.0,150.85,4.225
647.5,22.0,521.05,4.35
550.0,36.0,157.65,4.225
188.0,16.0,532.45,4.275
428.0,16.0,93.6,4.15
582.0,15.0,106.1,4.1
282.0,37.0,90.15,4.175
367.0,16.0,241.8,4.275
403.0,29.0,268.5,4.375
432.0,18.0,390.75,4.225
238.0,41.0,187.5,4.175
346.5,28.0,178.95,4.375
679.0,16.0,408.95,4.35
470.0,13.0,213.25,4.375
623.0,20.0,520.7,4.325
440.0,14.0,125.9,4.25
338.0,19.0,133.95,4.25
499.5,27.0,167.75,4.325
446.0,19.0,136.65,4.275
363.0,19.0,182.8,4.275
279.0,19.0,143.2,4.275
544.5,34.0,142.9,4.3
528.5,22.0,112.2,4.275
523.0,21.0,203.95,4.275
292.0,21.0,280.9,4.25
460.0,18.0,153.05,4.2
143.0,16.0,165.55,4.25
427.0,30.0,146.6,4.225
889.0,24.0,30.85,4.225
566.0,20.0,142.95,4.275
599.0,24.0,532.85,4.3
